order_id,order_date,customer_id,product_id,quantity,unit_price
1001,2025-01-03,C100,P501,2,29.99
1002,2025-01-03,C105,P502,1,149.99
1003,2025-01-04,C100,P503,3,19.99
1004,2025-01-04,C108,P501,1,29.99
1005,2025-01-05,C110,P505,2,79.99
1006,2025-01-06,C112,P504,1,34.99
1007,2025-01-07,C100,P506,1,249.99
1008,2025-01-07,C115,P501,4,29.99
1009,2025-01-08,C118,P502,2,149.99
1010,2025-01-10,C120,P507,1,15.99
1011,2025-01-10,C100,P508,1,59.99
1012,2025-01-12,C122,P501,2,29.99
1013,2025-01-12,C123,P509,1,89.99
1014,2025-01-14,C125,P510,1,499.99
1015,2025-01-15,C100,P505,1,79.99
1016,2025-01-15,C128,P504,3,34.99
1017,2025-01-16,C130,P501,1,29.99
1018,2025-01-18,C132,P511,2,24.99
1019,2025-01-20,C100,P512,1,39.99
1020,2025-01-21,C135,P513,1,19.99
